GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kata_Potter,hellocucumber,Cart,0,248,1,30,0,55,1,27,0,11
Kata_Potter,hellocucumber,Main,37,0,0,0,5,0,2,0,2,0
